rank,university,位置,score,logo_path,logo_url
41,罗蒙诺索夫莫斯科国立大学,俄罗斯,66,logos_cn/罗蒙诺索夫莫斯科国立大学-m.jpg,https://www.qschina.cn/sites/default/files/lomonosov-moscow-state-university-_592560cf2aeae70239af4c27_small.jpg
41,麻省理工学院,美国,66,logos_cn/麻省理工学院-m.jpg,https://www.qschina.cn/sites/default/files/massachusetts-institute-of-technology-mit_410_small.jpg
43,华威大学,英国,65.9,logos_cn/华威大学-m.jpg,https://www.qschina.cn/sites/default/files/the-university-of-warwick_664_small.jpg
44,北京大学,中国(大陆),65.7,logos_cn/北京大学-m.jpg,https://www.qschina.cn/sites/default/files/peking-university_50_small.jpg
45,纽约市立大学,美国,65.6,logos_cn/纽约市立大学-m.jpg,https://www.qschina.cn/sites/default/files/city-university-of-new-york_149_small.jpg
46,新加坡国立大学,新加坡,65.5,logos_cn/新加坡国立大学-m.jpg,https://www.qschina.cn/sites/default/files/national-university-of-singapore-nus_443_small.jpg
46,清华大学,中国(大陆),65.5,logos_cn/清华大学-m.jpg,https://www.qschina.cn/sites/default/files/tsinghua-university_626_small.jpg
46,巴塞罗那大学,西班牙,65.5,logos_cn/巴塞罗那大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-barcelona_592560cf2aeae70239af4aaf_small.jpg
49,中山大学,中国(大陆),65.3,logos_cn/中山大学-m.jpg,https://www.qschina.cn/sites/default/files/sun-yat-sen-university_888_small.jpg
50,密歇根大学,美国,65.2,logos_cn/密歇根大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-michigan_403_small.jpg
51-100,北京师范大学,中国(大陆),,logos_cn/北京师范大学-m.jpg,https://www.qschina.cn/sites/default/files/beijing-normal-university_869_small.jpg
51-100,伦敦的伯克贝克学院，大学,英国,,logos_cn/伦敦的伯克贝克学院，大学-m.jpg,https://www.qschina.cn/sites/default/files/birkbeck-university-of-london_1636_small.jpg
51-100,波士顿大学,美国,,logos_cn/波士顿大学-m.jpg,https://www.qschina.cn/sites/default/files/boston-university_592560cf2aeae70239af4ac2_small.jpg
51-100,布朗大学,美国,,logos_cn/布朗大学-m.jpg,https://www.qschina.cn/sites/default/files/brown-university_72_small.jpg
51-100,康奈尔大学,美国,,logos_cn/康奈尔大学-m.jpg,https://www.qschina.cn/sites/default/files/cornell-university_143_small.jpg
51-100,杜伦大学,英国,,logos_cn/杜伦大学-m.jpg,https://www.qschina.cn/sites/default/files/durham-university_170_small.jpg
51-100,华东师范大学,中国(大陆),,logos_cn/华东师范大学-m.jpg,https://www.qschina.cn/sites/default/files/east-china-normal-university_592560cf2aeae70239af4def_small.jpg
51-100,蒂宾根大学,德国,,logos_cn/蒂宾根大学-m.jpg,https://www.qschina.cn/sites/default/files/eberhard-karls-universitt-tbingen_629_small.jpg
51-100,鹿特丹伊拉斯谟大学,荷兰,,logos_cn/鹿特丹伊拉斯谟大学-m.jpg,https://www.qschina.cn/sites/default/files/erasmus-university-rotterdam_190_small.jpg
51-100,福坦莫大学,美国,,logos_cn/福坦莫大学-m.jpg,https://www.qschina.cn/sites/default/files/fordham-university_814_small.jpg
51-100,乔治城大学,美国,,logos_cn/乔治城大学-m.jpg,https://www.qschina.cn/sites/default/files/georgetown-university_224_small.jpg
51-100,希伯来大学,以色列,,logos_cn/希伯来大学-m.jpg,https://www.qschina.cn/sites/default/files/the-hebrew-university-of-jerusalem_256_small.jpg
51-100,约翰霍普金斯大学,美国,,logos_cn/约翰霍普金斯大学-m.jpg,https://www.qschina.cn/sites/default/files/johns-hopkins-university_305_small.jpg
51-100,京都大学,日本,,logos_cn/京都大学-m.jpg,https://www.qschina.cn/sites/default/files/kyoto-university_328_small.jpg
51-100,麦吉尔大学,加拿大,,logos_cn/麦吉尔大学-m.jpg,https://www.qschina.cn/sites/default/files/mcgill-university_592560cf2aeae70239af4c10_small.jpg
51-100,俄罗斯国家研究型高等经济大学（HSE）,俄罗斯,,logos_cn/俄罗斯国家研究型高等经济大学（HSE）-m.jpg,https://www.qschina.cn/sites/default/files/hse-university-national-research-university-higher-school-of-economics_592560cf2aeae70239af52ec_small.jpg
51-100,台湾大学,台湾,,logos_cn/台湾大学-m.jpg,https://www.qschina.cn/sites/default/files/national-taiwan-university-ntu_592560cf2aeae70239af4c3c_small.jpg
51-100,西北大学,美国,,logos_cn/西北大学-m.jpg,https://www.qschina.cn/sites/default/files/northwestern-university_592560cf2aeae70239af4c50_small.jpg
51-100,鲁尔大学波鸿,德国,,logos_cn/鲁尔大学波鸿-m.jpg,https://www.qschina.cn/sites/default/files/ruhr-universitt-bochum_537_small.jpg
51-100,鲁普莱希特-卡尔斯-海德堡大学,德国,,logos_cn/鲁普莱希特-卡尔斯-海德堡大学-m.jpg,https://www.qschina.cn/sites/default/files/ruprecht-karls-universitaet-heidelberg_259_small.jpg
51-100,圣彼得堡州立大学,俄罗斯,,logos_cn/圣彼得堡州立大学-m.jpg,https://www.qschina.cn/sites/default/files/saint-petersburg-state-university_592560cf2aeae70239af4cc0_small.jpg
51-100,首尔国立大学,韩国,,logos_cn/首尔国立大学-m.jpg,https://www.qschina.cn/sites/default/files/graduate-school-of-business-seoul-national-university_553_small.jpg
51-100,奥克兰大学,新西兰,,logos_cn/奥克兰大学-m.jpg,https://www.qschina.cn/sites/default/files/the-university-of-auckland_592560cf2aeae70239af4aa8_small.jpg
51-100,谢菲尔德大学,英国,,logos_cn/谢菲尔德大学-m.jpg,https://www.qschina.cn/sites/default/files/the-university-of-sheffield_592560cf2aeae70239af4cb1_small.jpg
51-100,东京大学,日本,,logos_cn/东京大学-m.jpg,https://www.qschina.cn/sites/default/files/the-university-of-tokyo_615_small.jpg
