rank,university,位置,score,logo_path,logo_url
41,曼彻斯特大学,英国,77,logos_cn/曼彻斯特大学-m.jpg,https://www.qschina.cn/sites/default/files/the-university-of-manchester_389_small.jpg
42,华威大学,英国,76.8,logos_cn/华威大学-m.jpg,https://www.qschina.cn/sites/default/files/the-university-of-warwick_664_small.jpg
43,麦吉尔大学,加拿大,76.3,logos_cn/麦吉尔大学-m.jpg,https://www.qschina.cn/sites/default/files/mcgill-university_592560cf2aeae70239af4c10_small.jpg
44,鲁普莱希特-卡尔斯-海德堡大学,德国,75.3,logos_cn/鲁普莱希特-卡尔斯-海德堡大学-m.jpg,https://www.qschina.cn/sites/default/files/ruprecht-karls-universitaet-heidelberg_259_small.jpg
45,SOAS伦敦大学东方与非洲研究学院,英国,75.1,logos_cn/SOAS伦敦大学东方与非洲研究学院-m.jpg,https://www.qschina.cn/sites/default/files/soas-university-of-london-_592560cf2aeae70239af4bf0_small.jpg
46,索邦大学,法国,74.9,logos_cn/索邦大学-m.jpg,https://www.qschina.cn/sites/default/files/sorbonne-university_5a6afcfecb4de709397114fe_small.jpg
46,埃克塞特大学,英国,74.9,logos_cn/埃克塞特大学-m.jpg,https://www.qschina.cn/sites/default/files/the-university-of-exeter_204_small.jpg
46,约克大学,英国,74.9,logos_cn/约克大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-york_689_small.jpg
49,墨西哥国立自治大学,墨西哥,74.8,logos_cn/墨西哥国立自治大学-m.jpg,https://www.qschina.cn/sites/default/files/universidad-nacional-autnoma-de-mxico-unam_425_small.jpg
50,香港大学（HKU）,香港,74.5,logos_cn/香港大学（HKU）-m.jpg,https://www.qschina.cn/sites/default/files/the-university-of-hong-kong_268_small.jpg
51-100,布朗大学,美国,,logos_cn/布朗大学-m.jpg,https://www.qschina.cn/sites/default/files/brown-university_72_small.jpg
51-100,中欧大学,匈牙利,,logos_cn/中欧大学-m.jpg,https://www.qschina.cn/sites/default/files/central-european-university_592560cf2aeae70239af4af3_small.jpg
51-100,蒂宾根大学,德国,,logos_cn/蒂宾根大学-m.jpg,https://www.qschina.cn/sites/default/files/eberhard-karls-universitt-tbingen_629_small.jpg
51-100,Ecole des Hautes Etudes en Sciences Sociales,法国,,logos_cn/Ecole des Hautes Etudes en Sciences Sociales-m.jpg,https://www.qschina.cn/sites/default/files/ecole-des-hautes-etudes-en-sciences-sociales_592560cf2aeae70239af583e_small.jpg
51-100,欧洲大学学院,意大利,,logos_cn/欧洲大学学院-m.jpg,https://www.qschina.cn/sites/default/files/european-university-institute_15283_small.jpg
51-100,复旦大学,中国(大陆),,logos_cn/复旦大学-m.jpg,https://www.qschina.cn/sites/default/files/fudan-university_218_small.jpg
